N5,一,"イチ, イツ","ひと, ひと.つ",un,
N5,七,シチ,"なな, なな.つ, なの",sept,
N5,万,"マン, バン",よろず,dix-mille,
N5,三,"サン, ゾウ","み, み.つ, みっ.つ",trois,
N5,上,"ジョウ, ショウ, シャン","うえ,&nbsp;&nbsp;あ.げる, のぼ.る","au-dessus, haut, monter, donner",
N5,下,"カ, ゲ","した,&nbsp;&nbsp;さ.げる, くだ.る","au-dessous, descendre, bas, donner, inférieur",
N4,不,"フ, ブ",-,"préfixe de négation, non",
N3,与,ヨ,"あた.える, あずか.る, くみ.する, ともに","donner, décerner, offrir, conférer, don",
N4,世,"セイ, セ","よ, さんじゅう","monde, époque, génération",
N3,両,リョウ,"てる, ふたつ","deux, les deux, paire, compteur des wagons",
N5,中,チュウ,"なか, うち, あた.る","dans, dedans, à l'intérieur, milieu, centre, moyenne",
N4,主,"シュ, ス","ぬし, おも","seigneur, maître, mari",
N4,乗,ジョウ,の.る,"monter (dans un véhicule), embarquer",
N5,九,"キュウ, ク","ここの, ここの.つ",neuf,
N3,予,ヨ,あらかじ.め,"auparavant, au préalable",
N3,争,ソウ,あらそ.う,"se quereller, se disputer, se battre",
N4,事,ジ,こと,"fait, chose abstraite, affaire",
N5,二,"ニ, ジ","ふた, ふた.つ, ふたた.び",deux,
N3,互,ゴ,"たが.い, かたみ.に","mutuel, réciproque",
N5,五,ゴ,"いつ, いつ.つ",cinq,
N3,亡,"ボウ, モウ","な.い, ほろ.びる","décédé, mort, mourir",
N3,交,コウ,まじ.る,"intersection, se mélanger",
N4,京,"キョウ, ケイ, キン",みやこ,"capitale, 10^16",
N5,人,"ジン, ニン",ひと,"être humain, personne",
N5,今,コン,いま,maintenant,
N4,仕,シ,つか.える,"servir, faire",
N3,他,タ,ほか,autre,
N3,付,フ,つ.ける,"coller, attacher, fixer",
N4,代,"ダイ, タイ",かわ.り,"génération, période, substitution, prix",
N4,以,イ,もっ.て,"par le moyen de, en vue de, comparé à",
N3,件,ケン,くだん,"affaire, cas, article",
N3,任,ニン,"まか.せる, まか.す","responsabilité, confier à",
N5,休,キュウ,"やす.む, やす.める","se reposer, repos",
N5,会,カイ,あ.う,"réunion, rencontre, parti",
N3,伝,"デン, テン","つた.わる, つた.える","transmettre, communiquer, légende, tradition",
N3,似,ジ,に.る,"ressembler à, imiter",
N3,位,イ,"くらい, ぐらい","rang, position, à peu près",
N4,低,テイ,"ひく.い, ひく.める","bas, abaisser",
